location	Angola	-11.202692	17.873887
location	Argentina	-38.416097	-63.616672
location	Bangladesh	23.684994	90.356331
location	Brazil	-14.235004	-51.92528
location	Cambodia	12.565679	104.990963
location	Cameroon	7.369722	12.354722
location	Central African Republic	6.611111	20.939444
location	China	35.86166	104.195397
location	Colombia	4.570868	-74.297333
location	Cote d'Ivoire	7.539989	-5.54708
location	Democratic Republic of the Congo	-4.038333	21.758664
location	Finland	61.92411	25.748151
location	France	46.227638	2.213749
location	French Guiana	3.933889	-53.125782
location	Guadeloupe	16.995971	-62.067641
location	Haiti	18.971187	-72.285215
location	Hong Kong	22.396428	114.109497
location	India	20.593684	78.96288
location	Italy	41.87194	12.56738
location	Kenya	-0.023559	37.906193
location	Malaysia	4.210484	101.975766
location	Maldives	3.202778	73.22068
location	Mauritius	-20.348404	57.552152
location	Mayotte	-12.8275	45.166244
location	Myanmar	21.913965	95.956223
location	New Caledonia	-20.904305	165.618042
location	Nicaragua	12.865416	-85.207229
location	Nigeria	9.081999	8.675277
location	Pakistan	30.375321	69.345116
location	Philippines	12.879721	121.774017
location	Republic of the Congo	-0.228021	15.827659
location	Reunion	-21.115141	55.536384
location	Senegal	14.497401	-14.452362
location	Singapore	1.352083	103.819836
location	South Africa	-30.559482	22.937506
location	South Korea	35.907757	127.766922
location	Sri Lanka	7.873054	80.771797
location	Tanzania	-6.369028	34.888822
location	Thailand	15.870032	100.992541
location	USA	37.09024	-95.712891
location	Yemen	15.552727	48.516388